type,sitecode,city,address1,address2,city,state,zipcode,telephone,fax,lat,lng,region_lat,region_lng,officename,servicing_states,,,region,_name,efile_fax,field_offices
HO,X64,San Francisco,"Equity Building, 16th Floor",301 Howard Street,San Francisco,CA,94105,(866) 770-1221,8333650281,37.7899513,-122.3942138,,,"SSA, OHO",,,,9,Region 9,(877) 394-9237,"CALIFORNIA: Bakersfield, Bakersfield-East Hills, Chinatown, Daly City, Delano, Mission, Parkside, San Francisco (Downtown), San Mateo, Western Addition"
HO,Y36,San Jose,Robert F. Peckham Federal Building,280 South 1ST ST RM 330,San Jose,CA,95113-3005,(866) 331-2219,8336480171,37.3318157,-121.8873173,,,"SSA, OHO",,,,9,Region 9,(877) 394-9239,"CALIFORNIA: Campbell, Gilroy, Mountain View, Redwood City, Salinas, San Jose, San Jose (East), San Jose (South), Santa Cruz, Watsonville"
HO,X96,San Rafael,Suite 230,4040 Civic Center Drive,San Rafael,CA,94903,(866) 814-3559,8337480036,38.0057614,-122.5394193,,,"SSA, OHO",,,,9,Region 9,(877 )394-9240,"CALIFORNIA: Crescent City, Eureka, Lakeport, Napa, San Rafael, Santa Rosa, Suisun City, Ukiah, Vallejo"
HO,Y37,Santa Barbara,Suite 206,222 East Carrillo Street,Santa Barbara,CA,93101,(866) 273-4953,8336560266,34.424114,-119.698421,,,"SSA, OHO",,,,9,Region 9,(877) 394-9242,"CALIFORNIA: Oxnard, San Luis Obispo, Santa Barbara, Santa Maria, Thousand Oaks, Ventura"
HO,R73,Stockton,Suite 100,3116 W. March Lane,Stockton,CA,95219,(866) 494-3136,8333200691,37.9838802,-121.3508824,,,"SSA, OHO",,,,9,Region 9,(877) 394-9243,"CALIFORNIA: Lodi, Manteca, Modesto, Sonora, Stockton"
HO,X66,Tucson,"Rio Nuevo Professional Plaza, Suite 265",201 N. Bonita Avenue,Tucson,AZ,85745,(888) 383-8694,8333650285,32.2237721,-110.9828152,,,"SSA, OHO",,,,9,Region 9,(877) 394-4580,"ARIZONA: Casa Grande, Douglas, Globe, Nogales, Safford, Sells, Show Low, Tucson, Tucson (South)"
RO,X30,Seattle,"Columbia Tower, Suite 2900","701 5th Avenue, M\S 904",Seattle,WA,98104-7075,(206) 615-2236,8336310155,47.60207,-122.327246,45.328464,-119.289551,"SSA, OHO","Alaska, Idaho, Oregon, Washington",,,10,Region 10,,
SO,T1G,Anchorage,Suite 610,188 W Northern Lights Boulevard,Anchorage,AK,99503,(855) 602-5004,8339532037,61.194786,-149.88599,,,"SSA, OHO (Satellite Office)",,,,10,Region 10,(877) 714-3607,"ALASKA: Anchorage, Fairbanks, Juneau"
HO,X99,Eugene,Suite 201,211 E. 7th Avenue,Eugene,OR,97401,(866) 964-7044,8337690243,44.05267,-123.088909,,,"SSA, OHO",,,,10,Region 10,(877) 714-3613,"OREGON: Chiloquin, Christmas Valley, I-5 Corridor from Albany to Weed, CA, Klamath Falls, La Pine, Lakeview, Madras, Medford, Oregon Coast from Depoe Bay to Gold Beach, Prineville, Redmond, Sisters"
HO,T28,Portland,Suite 400,825 NE Multnomah Street,Portland,OR,97232-2483,(866) 964-6291,8337190414,45.529553,-122.646316,,,"SSA, OHO",,,,10,Region 10,(877) 714-3616,"OREGON: Astoria, Beaverton, La Grande, Portland (Downtown), Portland (East), Portland (NE), Salem, The Dalles; WASHINGTON: Longview, Vancouver"
HO,Y38,Seattle,"Yesler Building, Suite 500",300 5th Avenue,Seattle,WA,98104-3389,(888) 366-6144,8336560278,47.60207,-122.327246,,,"SSA, OHO",,,,10,Region 10,(877) 714-3634,"WASHINGTON: Bellevue, Bellingham, Everett, Kitsap, Lynnwood, Mt. Vernon, Port Angeles, Renton, Seattle (Metro), Seattle (North), Wenatchee, Yakima; ALASKA: Anchorage, Fairbanks, Juneau"
HO,Y03,Spokane,Suite 200,714 N Iron Bridge Way,Spokane,WA,99202-4929,(888) 253-3903,8337690245,47.6568696,-117.3719973,,,"SSA, OHO",,,,10,Region 10,(877) 714-3615,"IDAHO: Coeur d'Alene, Lewiston; WASHINGTON: Kennewick (Tri-Cities), Pullman, Spokane, Walla Walla; OREGON: Pendleton"
HO,T1H,Tacoma,Suite 200,2413 Pacific Avenue,Tacoma,WA,98402,(888) 208-4640,8339532162,47.239595,-122.434829,,,"SSA, OHO",,,,10,Region 10,(877) 313-4919,"WASHINGTON: Centralia, Grays Harbor, Kent, Olympia, Puyallup, Tacoma"
